dataset,evolution_method,mutation,crossover,generations,sub_gens,batch_size,batch_offset,number_parents,clamp_min,clamp_max,accuracy
qsar_normalized,JDE,degl,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.798750000
qsar_normalized,JDE,degl,interm,2000,3,20,10,123,-1.000000000,1.000000000,0.797500000
qsar_normalized,JDE,degl,interm,2000,3,20,5,123,-1.000000000,1.000000000,0.795000000
qsar_normalized,JADE,curr_p_best,interm,2000,5,20,10,123,-1.000000000,1.000000000,0.793750000
qsar_normalized,L-SHADE,degl,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.793750000
qsar_normalized,SHADE,curr_p_best,interm,2000,3,20,5,123,-1.000000000,1.000000000,0.793750000
qsar_normalized,SHADE,curr_p_best,interm,2000,10,20,20,123,-1.000000000,1.000000000,0.792500000
qsar_normalized,JDE,degl,interm,2000,5,20,20,123,-1.000000000,1.000000000,0.791250000
qsar_normalized,JDE,degl,interm,2000,5,40,20,123,-1.000000000,1.000000000,0.790000000
qsar_normalized,JDE,degl,interm,2000,20,40,40,123,-1.000000000,1.000000000,0.790000000
qsar_normalized,L-SHADE,degl,bin,2000,3,40,10,123,-1.000000000,1.000000000,0.790000000
qsar_normalized,SHADE,degl,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.790000000
qsar_normalized,JDE,degl,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.787500000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,3,20,5,123,-1.000000000,1.000000000,0.787500000
qsar_normalized,SHADE,degl,bin,2000,20,40,40,123,-1.000000000,1.000000000,0.787500000
qsar_normalized,JDE,degl,bin,2000,2,40,20,123,-1.000000000,1.000000000,0.786250000
qsar_normalized,SHADE,curr_p_best,interm,2000,2,20,5,123,-1.000000000,1.000000000,0.786250000
qsar_normalized,JADE,curr_p_best,interm,2000,5,10,10,123,-1.000000000,1.000000000,0.786250000
qsar_normalized,JDE,curr_p_best,interm,2000,20,40,40,123,-1.000000000,1.000000000,0.786250000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,5,10,10,123,-1.000000000,1.000000000,0.785000000
qsar_normalized,JDE,curr_p_best,interm,2000,5,20,20,123,-1.000000000,1.000000000,0.785000000
qsar_normalized,JDE,rand/1,interm,2000,20,40,40,123,-1.000000000,1.000000000,0.785000000
qsar_normalized,SHADE,rand/1,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.785000000
qsar_normalized,JADE,degl,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.783750000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,20,40,40,123,-1.000000000,1.000000000,0.783750000
qsar_normalized,SHADE,curr_p_best,interm,2000,5,10,10,123,-1.000000000,1.000000000,0.783750000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,3,20,10,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,JADE,degl,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,JDE,degl,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,JDE,degl,interm,2000,4,40,40,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,L-SHADE,degl,bin,2000,20,40,40,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,SHADE,curr_p_best,interm,2000,3,10,5,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,SHADE,degl,bin,2000,2,20,5,123,-1.000000000,1.000000000,0.782500000
qsar_normalized,JDE,degl,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,SHADE,degl,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,SHADE,degl,bin,2000,3,20,5,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,JDE,degl,bin,2000,3,40,10,123,-1.000000000,1.000000000,0.780000000
qsar_normalized,JDE,degl,interm,2000,10,40,40,123,-1.000000000,1.000000000,0.780000000
qsar_normalized,L-SHADE,rand/1,interm,2000,5,20,20,123,-1.000000000,1.000000000,0.780000000
qsar_normalized,SHADE,degl,bin,2000,5,10,10,123,-1.000000000,1.000000000,0.780000000
qsar_normalized,SHADE,degl,bin,2000,5,20,10,123,-1.000000000,1.000000000,0.780000000
qsar_normalized,JDE,curr_p_best,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.778750000
qsar_normalized,JDE,degl,interm,2000,2,40,20,123,-1.000000000,1.000000000,0.778750000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,2,10,10,123,-1.000000000,1.000000000,0.778750000
qsar_normalized,SHADE,curr_p_best,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.778750000
qsar_normalized,SHADE,degl,bin,2000,1,20,5,123,-1.000000000,1.000000000,0.778750000
qsar_normalized,JADE,rand/1,interm,2000,3,40,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,JADE,rand/1,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,JDE,curr_p_best,interm,2000,3,40,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,JDE,degl,interm,2000,1,10,2,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,5,20,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,SHADE,curr_p_best,interm,2000,2,10,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,JDE,curr_p_best,interm,2000,5,20,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,3,40,10,123,-1.000000000,1.000000000,0.777500000
qsar_normalized,JADE,curr_p_best,interm,2000,10,20,20,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,JADE,degl,bin,2000,1,40,10,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,SHADE,curr_p_best,interm,2000,1,10,2,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,SHADE,curr_p_best,interm,2000,1,10,5,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,JADE,degl,bin,2000,1,20,5,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,L-SHADE,curr_p_best,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.776250000
qsar_normalized,JDE,degl,interm,2000,1,40,10,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,JDE,rand/1,interm,2000,5,20,10,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,L-SHADE,degl,bin,2000,1,10,2,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,L-SHADE,degl,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,L-SHADE,degl,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,SHADE,degl,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,JDE,degl,interm,2000,2,20,5,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,L-SHADE,degl,bin,2000,5,10,10,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,L-SHADE,rand/1,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,JDE,degl,bin,2000,3,20,10,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,L-SHADE,degl,bin,2000,2,20,5,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,SHADE,degl,bin,2000,1,10,10,123,-1.000000000,1.000000000,0.773750000
qsar_normalized,JADE,degl,bin,2000,5,40,20,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,JDE,curr_p_best,interm,2000,3,20,5,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,L-SHADE,curr_p_best,bin,2000,5,40,20,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,JADE,curr_p_best,interm,2000,2,20,20,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,JDE,degl,interm,2000,5,10,10,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,5,40,20,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,L-SHADE,rand/1,interm,2000,1,20,10,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,SHADE,curr_p_best,bin,2000,5,20,20,123,-1.000000000,1.000000000,0.772500000
qsar_normalized,JADE,curr_p_best,interm,2000,2,20,5,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,JADE,curr_p_best,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,JADE,degl,bin,2000,3,20,10,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,JDE,curr_p_best,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,JDE,degl,bin,2000,1,20,5,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,L-SHADE,curr_p_best,interm,2000,3,10,5,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,L-SHADE,rand/1,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.771250000
qsar_normalized,JDE,curr_p_best,interm,2000,2,40,20,123,-1.000000000,1.000000000,0.770000000
qsar_normalized,L-SHADE,degl,bin,2000,1,10,5,123,-1.000000000,1.000000000,0.770000000
