evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
JDE,rand/1,bin,low,high,high,0.712566,0.7813814,0.745,0.72375,0.7746668000000001,0.5808888000000001,0.71414,0.69708
JDE,rand/1,interm,low,high,high,0.7178292,0.781513,0.73125,0.72125,0.8557778,0.7132222,0.8616,0.8789399999999999
JDE,curr_p_best,bin,low,high,high,0.7147368000000001,0.7837498,0.7425,0.74625,0.921889,0.7397776,0.84726,0.85324
JDE,curr_p_best,interm,low,high,high,0.7178288,0.7813816,0.7525,0.72875,0.9224444,0.7452224000000001,0.8567600000000001,0.82676
JDE,degl,bin,low,high,high,0.7182894000000001,0.7824344,0.75125,0.74875,0.8608889999999999,0.7548888000000001,0.77156,0.76536
JDE,degl,interm,low,high,high,0.71875,0.7818418,0.73125,0.7725,0.852778,0.7413335999999999,0.7139,0.7494
JADE,rand/1,bin,low,high,high,0.7137502,0.7818421999999999,0.69125,0.715,0.7775554,0.5574446,0.45064,0.48638
JADE,rand/1,interm,low,high,high,0.719934,0.780921,0.7425,0.74875,0.8151111999999999,0.6663334,0.8699600000000001,0.87374
JADE,curr_p_best,bin,low,high,high,0.7192764,0.7834208,0.74875,0.7525,0.942889,0.768,0.79156,0.7743399999999999
JADE,curr_p_best,interm,low,high,high,0.7170396,0.7773026,0.7675,0.78625,0.9373334,0.779778,0.8402200000000001,0.83024
JADE,degl,bin,low,high,high,0.7159211999999999,0.7780262,0.69125,0.73,0.8897778000000001,0.7435556,0.6354,0.77662
JADE,degl,interm,low,high,high,0.7011185999999999,0.7434868,0.73125,0.7075,0.8023332,0.4376666,0.39866,0.44082
SHADE,rand/1,bin,low,high,high,0.7153288000000001,0.7836185999999999,0.705,0.6525,0.8092224,0.5902222,0.45046,0.46588
SHADE,rand/1,interm,low,high,high,0.7198026,0.7830262,0.745,0.75375,0.8151111999999999,0.6688888000000001,0.86544,0.8688799999999999
SHADE,curr_p_best,bin,low,high,high,0.7130918,0.783421,0.73625,0.72125,0.9344446,0.7434444,0.7892600000000001,0.7622800000000001
SHADE,curr_p_best,interm,low,high,high,0.7188156,0.7816448,0.7575,0.78375,0.9352222,0.7844444,0.83596,0.82868
SHADE,degl,bin,low,high,high,0.7223026,0.7801971999999999,0.74125,0.78,0.9212224,0.7618888,0.63484,0.75694
SHADE,degl,interm,low,high,high,0.7144736,0.748421,0.73875,0.7075,0.7416668000000001,0.3896668,0.3888,0.38844
