evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized,,magic_rank,magic_norm_rank,qsar_rank,qsar_norm_rank,gass_rank,gass_norm_rank,mnist_rank,mnist_norm_rank,QUADE Rank
SHADE,curr_p_best,interm,high,high,mid,72.6,78.4,78.2,76.2,94.2,85.1,85.1,86.8,,343,616,258,1045,384,33,181,304,3164
SHADE,curr_p_best,interm,high,mid,low,73.1,78.4,77,75.6,94.5,86.2,87.9,87.9,,210,616,834,1380,304,3,28,202,3577
L-SHADE,curr_p_best,interm,high,low,high,72.4,78.4,77.5,77.6,93.4,83.5,83.3,85.8,,567,616,552,365,668,219,270,372,3629
SHADE,curr_p_best,interm,high,high,high,72.2,78.4,81.4,76.8,93.2,84.2,84.5,86.2,,973,616,12,715,736,150,223,338,3763
SHADE,curr_p_best,interm,mid,low,low,72.2,78.5,77.5,75.6,95.1,82.7,87.4,86.1,,973,184,552,1380,212,303,49,348,4001
SHADE,curr_p_best,interm,low,mid,mid,72.2,78.7,77,77.6,94,79.7,85.2,83.9,,973,24,834,365,448,732,171,514,4061
JDE,degl,bin,high,mid,low,72.2,78.4,78.5,78.6,92.7,81.3,79.6,84.9,,973,616,192,95,892,525,375,430,4098
MAB-SHADE,None,bin,mid,mid,low,72.1,78.4,79,76.7,96.1,84.8,79.3,80.2,,1428,616,114,745,68,81,381,826,4259
JADE,curr_p_best,interm,high,mid,high,72.2,78.4,78.4,76.6,90.8,84.6,85.2,86.5,,973,616,216,800,1224,96,171,320,4416
L-SHADE,curr_p_best,bin,high,mid,mid,73.5,78.3,77.6,77.2,95.1,81.8,80.9,81.2,,154,1536,486,515,212,438,345,750,4436
L-SHADE,curr_p_best,interm,high,high,mid,72.4,78.3,78.4,76.5,94,82.7,85,86.4,,567,1536,216,900,448,303,185,324,4479
JDE,curr_p_best,interm,high,high,high,72.2,78.5,77.9,78.6,89.8,81.9,83.2,80.8,,973,184,384,95,1404,423,274,778,4515
L-SHADE,curr_p_best,interm,high,mid,high,72.2,78.4,78.2,76,93.3,82.3,82.8,85.6,,973,616,258,1140,704,363,291,384,4729
SHADE,curr_p_best,interm,high,low,low,72.3,78.5,75.4,76.2,94.7,85.1,87.7,87.6,,700,184,2256,1045,268,33,38,236,4760
SHADE,rand/1,interm,high,high,mid,72.3,78.6,77.9,76.6,87.1,76,87,90.1,,700,72,384,800,1792,1038,61,14,4861
SHADE,curr_p_best,interm,high,high,low,72.1,78.3,79.2,75.4,95,86.2,87.9,87.8,,1428,1536,90,1490,224,3,28,212,5011
SHADE,curr_p_best,bin,high,mid,mid,75.6,78.5,75.5,75.5,96.2,84.3,82.2,82,,49,184,2178,1430,56,138,313,666,5014
MAB-SHADE,None,bin,mid,high,mid,72.1,78.4,76.9,78.8,94.8,81,80.9,80,,1428,616,918,75,252,558,345,840,5032
JADE,curr_p_best,interm,mid,low,mid,72,78.4,77.6,77.1,93.8,82.6,86.3,85.7,,2079,616,486,555,504,327,100,380,5047
SAMDE,None,bin,high,low,low,76.5,78.4,76,78.3,94,77.9,77.3,79.4,,21,616,1674,160,448,876,422,882,5099
JADE,degl,bin,low,mid,low,73.1,78.5,76.5,75.9,94.9,79.5,75.7,79.8,,210,184,1200,1240,240,744,448,856,5122
JDE,degl,bin,high,low,mid,72.1,78.4,78.4,78,90.7,82.8,79.9,80.9,,1428,616,216,245,1244,291,368,772,5180
JADE,degl,bin,high,low,low,72.2,78.3,77.5,77.6,92.9,84.5,75,83,,973,1536,552,365,852,105,462,580,5425
JADE,curr_p_best,interm,high,mid,low,73.2,78.5,75.6,75,92.5,84.5,87,88.4,,203,184,2028,1760,932,105,61,162,5435
SHADE,curr_p_best,interm,mid,mid,low,72.2,78.4,78.1,73.2,94.5,81.6,87.7,86.6,,973,616,300,2545,304,486,38,312,5574
L-SHADE,curr_p_best,interm,high,high,low,73.1,78.2,79.8,74.9,94.1,83.9,87.1,87.7,,210,2760,54,1835,420,177,57,222,5735
MAB-SHADE,None,bin,high,mid,mid,72,78.4,76.2,77.5,95.8,83,81.9,82.1,,2079,616,1476,415,96,270,320,656,5928
JADE,curr_p_best,interm,mid,high,low,72.1,78.3,77.5,77.2,89.7,82.9,87.8,87.2,,1428,1536,552,515,1412,279,32,272,6026
JDE,degl,interm,mid,high,low,72.3,78.5,78.4,76.4,83.1,77.3,81.1,83,,700,184,216,980,2188,924,338,580,6110
L-SHADE,degl,bin,mid,low,low,73,78.3,76.9,75.8,94.7,80.8,72.7,79.2,,245,1536,918,1300,268,597,496,896,6256
JADE,curr_p_best,interm,low,low,mid,72.1,78.5,76.2,76.4,93.7,75.7,85,85,,1428,184,1476,980,524,1056,185,428,6261
SHADE,rand/1,interm,mid,mid,high,72.3,78.5,75.9,76.8,90.5,72.1,87.1,88.5,,700,184,1812,715,1292,1431,57,160,6351
SHADE,degl,bin,mid,mid,low,72.2,78.5,76.8,73.6,94,84.5,73.5,80.3,,973,184,990,2380,448,105,483,818,6381
SHADE,curr_p_best,interm,low,mid,low,72.1,78.3,77,77.6,93.3,76,85.8,85.4,,1428,1536,834,365,704,1038,129,400,6434
JADE,curr_p_best,bin,high,high,low,72.1,78.3,78.1,74.5,93.7,84.1,86.2,85.7,,1428,1536,300,2020,524,165,103,380,6456
L-SHADE,curr_p_best,interm,high,low,low,72.1,78.3,77.1,74.4,94.4,85.1,86.8,87.4,,1428,1536,750,2065,320,33,76,254,6462
L-SHADE,curr_p_best,bin,high,high,low,72.2,78.4,76.4,73,96.2,83.6,84,83.8,,973,616,1350,2655,56,213,241,526,6630
