dataset,evolution_method,mutation,crossover,generations,sub_gens,batch_size,batch_offset,number_parents,clamp_min,clamp_max,accuracy
qsar_normalized,SAMDE,None,bin,2000,3,10,5,123,-1.000000000,1.000000000,0.797916667
qsar_normalized,SAMDE,None,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.791666667
qsar_normalized,MAB-SHADE,None,bin,2000,5,20,20,123,-1.000000000,1.000000000,0.787500000
qsar_normalized,MAB-SHADE,None,interm,2000,1,20,5,123,-1.000000000,1.000000000,0.785416667
qsar_normalized,MAB-SHADE,None,interm,2000,5,20,10,123,-1.000000000,1.000000000,0.785416667
qsar_normalized,MAB-SHADE,None,interm,2000,5,40,10,123,-1.000000000,1.000000000,0.783333333
qsar_normalized,MAB-SHADE,None,interm,2000,20,40,40,123,-1.000000000,1.000000000,0.783333333
qsar_normalized,SAMDE,None,bin,2000,1,40,10,123,-1.000000000,1.000000000,0.783333333
qsar_normalized,SAMDE,None,bin,2000,10,40,40,123,-1.000000000,1.000000000,0.783333333
qsar_normalized,MAB-SHADE,None,interm,2000,5,40,20,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,SAMDE,None,bin,2000,3,20,5,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,SAMDE,None,bin,2000,5,20,20,123,-1.000000000,1.000000000,0.781250000
qsar_normalized,MAB-SHADE,None,bin,2000,3,20,5,123,-1.000000000,1.000000000,0.779166667
qsar_normalized,MAB-SHADE,None,interm,2000,3,10,5,123,-1.000000000,1.000000000,0.779166667
qsar_normalized,SAMDE,None,bin,2000,20,40,40,123,-1.000000000,1.000000000,0.779166667
qsar_normalized,SAMDE,None,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.777083333
qsar_normalized,MAB-SHADE,None,bin,2000,5,40,20,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,MAB-SHADE,None,interm,2000,5,20,20,123,-1.000000000,1.000000000,0.775000000
qsar_normalized,MAB-SHADE,None,interm,2000,3,40,10,123,-1.000000000,1.000000000,0.772916667
qsar_normalized,MAB-SHADE,None,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.772916667
qsar_normalized,MAB-SHADE,None,interm,2000,10,40,40,123,-1.000000000,1.000000000,0.772916667
qsar_normalized,MAB-SHADE,None,bin,2000,5,40,10,123,-1.000000000,1.000000000,0.772916667
qsar_normalized,MAB-SHADE,None,bin,2000,10,20,20,123,-1.000000000,1.000000000,0.770833333
qsar_normalized,MAB-SHADE,None,bin,2000,20,40,40,123,-1.000000000,1.000000000,0.770833333
qsar_normalized,SAMDE,None,bin,2000,2,40,20,123,-1.000000000,1.000000000,0.770833333
qsar_normalized,SAMDE,None,bin,2000,3,20,10,123,-1.000000000,1.000000000,0.770833333
qsar_normalized,SAMDE,None,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.770833333
qsar_normalized,MAB-SHADE,None,bin,2000,3,10,5,123,-1.000000000,1.000000000,0.768750000
qsar_normalized,MAB-SHADE,None,bin,2000,1,10,2,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,MAB-SHADE,None,bin,2000,1,20,10,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,MAB-SHADE,None,bin,2000,10,40,40,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,MAB-SHADE,None,interm,2000,10,20,20,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,SAMDE,None,bin,2000,1,10,2,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,SAMDE,None,bin,2000,2,10,10,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,SAMDE,None,bin,2000,5,10,10,123,-1.000000000,1.000000000,0.766666667
qsar_normalized,MAB-SHADE,None,interm,2000,2,20,5,123,-1.000000000,1.000000000,0.764583333
qsar_normalized,MAB-SHADE,None,interm,2000,4,40,40,123,-1.000000000,1.000000000,0.764583333
qsar_normalized,SAMDE,None,bin,2000,3,40,10,123,-1.000000000,1.000000000,0.764583333
qsar_normalized,MAB-SHADE,None,bin,2000,1,10,10,123,-1.000000000,1.000000000,0.762500000
qsar_normalized,MAB-SHADE,None,interm,2000,3,20,10,123,-1.000000000,1.000000000,0.762500000
qsar_normalized,MAB-SHADE,None,interm,2000,5,10,10,123,-1.000000000,1.000000000,0.760416667
qsar_normalized,SAMDE,None,bin,2000,1,20,10,123,-1.000000000,1.000000000,0.760416667
qsar_normalized,SAMDE,None,interm,2000,3,40,10,123,-1.000000000,1.000000000,0.760416667
qsar_normalized,SAMDE,None,interm,2000,2,10,10,123,-1.000000000,1.000000000,0.756250000
qsar_normalized,MAB-SHADE,None,bin,2000,2,20,5,123,-1.000000000,1.000000000,0.754166667
qsar_normalized,MAB-SHADE,None,bin,2000,10,40,20,123,-1.000000000,1.000000000,0.754166667
qsar_normalized,SAMDE,None,bin,2000,1,10,5,123,-1.000000000,1.000000000,0.754166667
qsar_normalized,SAMDE,None,bin,2000,1,20,5,123,-1.000000000,1.000000000,0.754166667
qsar_normalized,SAMDE,None,bin,2000,2,20,20,123,-1.000000000,1.000000000,0.754166667
qsar_normalized,MAB-SHADE,None,interm,2000,1,10,10,123,-1.000000000,1.000000000,0.752083333
qsar_normalized,SAMDE,None,interm,2000,4,40,40,123,-1.000000000,1.000000000,0.752083333
qsar_normalized,MAB-SHADE,None,bin,2000,5,10,10,123,-1.000000000,1.000000000,0.752083333
qsar_normalized,MAB-SHADE,None,bin,2000,5,20,10,123,-1.000000000,1.000000000,0.750000000
qsar_normalized,MAB-SHADE,None,interm,2000,2,10,10,123,-1.000000000,1.000000000,0.750000000
qsar_normalized,SAMDE,None,bin,2000,4,40,40,123,-1.000000000,1.000000000,0.747916667
qsar_normalized,MAB-SHADE,None,bin,2000,1,40,10,123,-1.000000000,1.000000000,0.745833333
qsar_normalized,MAB-SHADE,None,bin,2000,4,40,40,123,-1.000000000,1.000000000,0.745833333
qsar_normalized,SAMDE,None,bin,2000,1,10,10,123,-1.000000000,1.000000000,0.745833333
qsar_normalized,MAB-SHADE,None,interm,2000,2,40,20,123,-1.000000000,1.000000000,0.743750000
qsar_normalized,SAMDE,None,interm,2000,1,20,10,123,-1.000000000,1.000000000,0.743750000
qsar_normalized,SAMDE,None,interm,2000,1,40,10,123,-1.000000000,1.000000000,0.743750000
qsar_normalized,MAB-SHADE,None,bin,2000,3,20,10,123,-1.000000000,1.000000000,0.743750000
qsar_normalized,SAMDE,None,interm,2000,10,40,20,123,-1.000000000,1.000000000,0.741666667
qsar_normalized,MAB-SHADE,None,bin,2000,2,20,20,123,-1.000000000,1.000000000,0.739583333
qsar_normalized,SAMDE,None,interm,2000,10,40,40,123,-1.000000000,1.000000000,0.737500000
qsar_normalized,MAB-SHADE,None,bin,2000,1,10,5,123,-1.000000000,1.000000000,0.735416667
qsar_normalized,MAB-SHADE,None,interm,2000,1,20,10,123,-1.000000000,1.000000000,0.735416667
